"","areaCode","villcode","countyname","countycode","towncode","townname","villname","area_nickname"
"200","6300007","63000020013","臺北市","63000","63000020","信義區","五全里","松山區*、信義區"
"201","6300007","63000020014","臺北市","63000","63000020","信義區","永吉里","松山區*、信義區"
"202","6300007","63000020015","臺北市","63000","63000020","信義區","長春里","松山區*、信義區"
"203","6300007","63000020016","臺北市","63000","63000020","信義區","四育里","松山區*、信義區"
"204","6300007","63000020017","臺北市","63000","63000020","信義區","四維里","松山區*、信義區"
"205","6300007","63000020018","臺北市","63000","63000020","信義區","永春里","松山區*、信義區"
"206","6300007","63000020019","臺北市","63000","63000020","信義區","富台里","松山區*、信義區"
"207","6300007","63000020020","臺北市","63000","63000020","信義區","國業里","松山區*、信義區"
"208","6300007","63000020021","臺北市","63000","63000020","信義區","松隆里","松山區*、信義區"
"209","6300007","63000020022","臺北市","63000","63000020","信義區","松友里","松山區*、信義區"
"210","6300007","63000020023","臺北市","63000","63000020","信義區","松光里","松山區*、信義區"
"211","6300007","63000020024","臺北市","63000","63000020","信義區","中坡里","松山區*、信義區"
"212","6300007","63000020025","臺北市","63000","63000020","信義區","中行里","松山區*、信義區"
"213","6300007","63000020026","臺北市","63000","63000020","信義區","大道里","松山區*、信義區"
"214","6300007","63000020027","臺北市","63000","63000020","信義區","大仁里","松山區*、信義區"
"215","6300007","63000020028","臺北市","63000","63000020","信義區","景新里","松山區*、信義區"
"216","6300007","63000020029","臺北市","63000","63000020","信義區","惠安里","松山區*、信義區"
"217","6300007","63000020030","臺北市","63000","63000020","信義區","三張里","松山區*、信義區"
"218","6300007","63000020031","臺北市","63000","63000020","信義區","三犁里","松山區*、信義區"
"219","6300007","63000020032","臺北市","63000","63000020","信義區","六合里","松山區*、信義區"
"220","6300007","63000020033","臺北市","63000","63000020","信義區","泰和里","松山區*、信義區"
"221","6300007","63000020034","臺北市","63000","63000020","信義區","景聯里","松山區*、信義區"
"222","6300007","63000020035","臺北市","63000","63000020","信義區","景勤里","松山區*、信義區"
"223","6300007","63000020036","臺北市","63000","63000020","信義區","雙和里","松山區*、信義區"
"224","6300007","63000020037","臺北市","63000","63000020","信義區","嘉興里","松山區*、信義區"
"225","6300007","63000020038","臺北市","63000","63000020","信義區","黎順里","松山區*、信義區"
"226","6300007","63000020039","臺北市","63000","63000020","信義區","黎平里","松山區*、信義區"
"227","6300007","63000020040","臺北市","63000","63000020","信義區","黎忠里","松山區*、信義區"
"228","6300007","63000020041","臺北市","63000","63000020","信義區","黎安里","松山區*、信義區"
"229","6300008","63000050001","臺北市","63000","63000050","中正區","水源里","中正區*、文山區"
"230","6300008","63000050002","臺北市","63000","63000050","中正區","富水里","中正區*、文山區"
"231","6300008","63000050003","臺北市","63000","63000050","中正區","文盛里","中正區*、文山區"
"232","6300008","63000050004","臺北市","63000","63000050","中正區","林興里","中正區*、文山區"
"233","6300008","63000050005","臺北市","63000","63000050","中正區","河堤里","中正區*、文山區"
"234","6300008","63000050006","臺北市","63000","63000050","中正區","頂東里","中正區*、文山區"
"235","6300008","63000050007","臺北市","63000","63000050","中正區","網溪里","中正區*、文山區"
"236","6300008","63000050008","臺北市","63000","63000050","中正區","板溪里","中正區*、文山區"
"237","6300008","63000050009","臺北市","63000","63000050","中正區","螢圃里","中正區*、文山區"
"238","6300008","63000050010","臺北市","63000","63000050","中正區","螢雪里","中正區*、文山區"
"239","6300008","63000080001","臺北市","63000","63000080","文山區","景行里","中正區*、文山區"
"240","6300008","63000080002","臺北市","63000","63000080","文山區","景東里","中正區*、文山區"
"241","6300008","63000080003","臺北市","63000","63000080","文山區","景美里","中正區*、文山區"
"242","6300008","63000080004","臺北市","63000","63000080","文山區","景慶里","中正區*、文山區"
"243","6300008","63000080005","臺北市","63000","63000080","文山區","景仁里","中正區*、文山區"
"244","6300008","63000080006","臺北市","63000","63000080","文山區","景華里","中正區*、文山區"
"245","6300008","63000080007","臺北市","63000","63000080","文山區","萬有里","中正區*、文山區"
"246","6300008","63000080008","臺北市","63000","63000080","文山區","萬祥里","中正區*、文山區"
"247","6300008","63000080009","臺北市","63000","63000080","文山區","萬隆里","中正區*、文山區"
"248","6300008","63000080010","臺北市","63000","63000080","文山區","萬年里","中正區*、文山區"
"249","6300008","63000080011","臺北市","63000","63000080","文山區","萬和里","中正區*、文山區"
"250","6300008","63000080012","臺北市","63000","63000080","文山區","萬盛里","中正區*、文山區"
"251","6300008","63000080013","臺北市","63000","63000080","文山區","興豐里","中正區*、文山區"
"252","6300008","63000080042","臺北市","63000","63000080","文山區","興邦里","中正區*、文山區"
"253","6300008","63000080014","臺北市","63000","63000080","文山區","興光里","中正區*、文山區"
"254","6300008","63000080015","臺北市","63000","63000080","文山區","興家里","中正區*、文山區"
"255","6300008","63000080016","臺北市","63000","63000080","文山區","興得里","中正區*、文山區"
"256","6300008","63000080017","臺北市","63000","63000080","文山區","興業里","中正區*、文山區"
"257","6300008","63000080018","臺北市","63000","63000080","文山區","興安里","中正區*、文山區"
"258","6300008","63000080019","臺北市","63000","63000080","文山區","興福里","中正區*、文山區"
"259","6300008","63000080020","臺北市","63000","63000080","文山區","興旺里","中正區*、文山區"
"260","6300008","63000080021","臺北市","63000","63000080","文山區","興泰里","中正區*、文山區"
"261","6300008","63000080022","臺北市","63000","63000080","文山區","興昌里","中正區*、文山區"
"262","6300008","63000080023","臺北市","63000","63000080","文山區","試院里","中正區*、文山區"
"263","6300008","63000080024","臺北市","63000","63000080","文山區","華興里","中正區*、文山區"
"264","6300008","63000080025","臺北市","63000","63000080","文山區","明義里","中正區*、文山區"
"265","6300008","63000080026","臺北市","63000","63000080","文山區","明興里","中正區*、文山區"
"266","6300008","63000080027","臺北市","63000","63000080","文山區","木柵里","中正區*、文山區"
"267","6300008","63000080028","臺北市","63000","63000080","文山區","木新里","中正區*、文山區"
"268","6300008","63000080029","臺北市","63000","63000080","文山區","順興里","中正區*、文山區"
"269","6300008","63000080038","臺北市","63000","63000080","文山區","忠順里","中正區*、文山區"
"270","6300008","63000080030","臺北市","63000","63000080","文山區","樟林里","中正區*、文山區"
"271","6300008","63000080031","臺北市","63000","63000080","文山區","樟新里","中正區*、文山區"
"272","6300008","63000080041","臺北市","63000","63000080","文山區","樟文里","中正區*、文山區"
"273","6300008","63000080032","臺北市","63000","63000080","文山區","樟腳里","中正區*、文山區"
"274","6300008","63000080043","臺北市","63000","63000080","文山區","樟樹里","中正區*、文山區"
"275","6300008","63000080033","臺北市","63000","63000080","文山區","萬芳里","中正區*、文山區"
"276","6300008","63000080039","臺北市","63000","63000080","文山區","萬美里","中正區*、文山區"
