"areaCode","villcode","countyname","countyCode","towncode","townname","villname","area_nickname","liCodeA"
"6500011","65000290005","新北市","65000","65000290","烏來區","孝義里","新店區、深坑區、石碇區、坪林區、烏來區",NA
"6600002","66000130001","臺中市","66000","66000130","沙鹿區","居仁里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130002","臺中市","66000","66000130","沙鹿區","洛泉里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130003","臺中市","66000","66000130","沙鹿區","沙鹿里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130004","臺中市","66000","66000130","沙鹿區","美仁里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130005","臺中市","66000","66000130","沙鹿區","興仁里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130006","臺中市","66000","66000130","沙鹿區","斗抵里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130007","臺中市","66000","66000130","沙鹿區","鹿峰里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130008","臺中市","66000","66000130","沙鹿區","鹿寮里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130009","臺中市","66000","66000130","沙鹿區","竹林里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130010","臺中市","66000","66000130","沙鹿區","犁分里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130011","臺中市","66000","66000130","沙鹿區","北勢里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130012","臺中市","66000","66000130","沙鹿區","福興里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130013","臺中市","66000","66000130","沙鹿區","晉江里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130014","臺中市","66000","66000130","沙鹿區","六路里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130015","臺中市","66000","66000130","沙鹿區","南勢里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130016","臺中市","66000","66000130","沙鹿區","埔子里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130017","臺中市","66000","66000130","沙鹿區","公明里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130018","臺中市","66000","66000130","沙鹿區","清泉里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130019","臺中市","66000","66000130","沙鹿區","西勢里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130020","臺中市","66000","66000130","沙鹿區","興安里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000130021","臺中市","66000","66000130","沙鹿區","三鹿里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230001","臺中市","66000","66000230","烏日區","烏日里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230002","臺中市","66000","66000230","烏日區","湖日里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230003","臺中市","66000","66000230","烏日區","三和里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230004","臺中市","66000","66000230","烏日區","榮泉里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230005","臺中市","66000","66000230","烏日區","學田里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230006","臺中市","66000","66000230","烏日區","九德里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230007","臺中市","66000","66000230","烏日區","仁德里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230008","臺中市","66000","66000230","烏日區","前竹里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230009","臺中市","66000","66000230","烏日區","五光里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230010","臺中市","66000","66000230","烏日區","光明里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230011","臺中市","66000","66000230","烏日區","東園里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230012","臺中市","66000","66000230","烏日區","溪埧里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230013","臺中市","66000","66000230","烏日區","螺潭里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230014","臺中市","66000","66000230","烏日區","北里里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230015","臺中市","66000","66000230","烏日區","南里里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
"6600002","66000230016","臺中市","66000","66000230","烏日區","溪尾里","沙鹿區、烏日區、大肚區、龍井區、霧峰區",NA
